ΗΜΕΡΟΜΗΝΙΑ ΥΠΟΒΟΛΗΣ ΑΙΤΗΣΗΣ,AΡΙΘΜΟΣ ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ,ΗΜΕΡΟΜΗΝΙΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΗΜΕΡΟΜΗΝΙΑ ΛΗΞΗΣ ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ,ΜΕΓΙΣΤΗ ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ,ΜΗΝΑΣ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΕΒΔΟΜΑΔΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΕΒΔΟΜΑΔΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΕΒΔΟΜΑΔΕΣ
2011-04-08 00:00:00,ΑΔ-03152,2012-03-15 00:00:00,2037-03-15 00:00:00,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,14.016,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-03,2012-11,11,48,299,1304
2010-06-10 00:00:00,ΑΔ-03157,2012-03-22 00:00:00,2037-03-22 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,10.8,ΑΙΟΛΙΚΑ,2012-03,2012-12,21,93,299,1304
2010-06-10 00:00:00,ΑΔ-03158,2012-03-22 00:00:00,2037-03-22 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,18.0,ΑΙΟΛΙΚΑ,2012-03,2012-12,21,93,299,1304
2010-08-10 00:00:00,ΑΔ-03161,2012-03-22 00:00:00,2037-03-22 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ  -  ΑΤΤΙΚΗΣ,ΒΟΙΩΤΙΑΣ - ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΘΗΒΑΙΩΝ - ΜΑΝΔΡΑΣ ΕΙΔΥΛΛΙΑΣ,20.0,ΑΙΟΛΙΚΑ,2012-03,2012-12,19,84,299,1304
2011-08-09 00:00:00,ΑΔ-03164,2012-03-22 00:00:00,2037-03-22 00:00:00,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ - ΓΡΕΒΕΝΩΝ,ΚΟΖΑΝΗΣ & ΓΡΕΒΕΝΩΝ,16.0,ΑΙΟΛΙΚΑ,2012-03,2012-12,7,32,299,1304
2009-12-10 00:00:00,ΑΔ-03171,2012-03-30 00:00:00,2037-03-30 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,17.325,ΑΙΟΛΙΚΑ,2012-03,2012-13,27,120,299,1304
2011-06-09 00:00:00,ΑΔ-03172,2012-03-30 00:00:00,2037-03-30 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,ΒΕΡΟΙΑΣ,45.0,ΑΙΟΛΙΚΑ,2012-03,2012-13,9,42,299,1304
2011-06-09 00:00:00,ΑΔ-03173,2012-03-30 00:00:00,2037-03-30 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,ΝΑΟΥΣΑΣ,48.0,ΑΙΟΛΙΚΑ,2012-03,2012-13,9,42,299,1304
2010-12-10 00:00:00,ΑΔ-03185,2012-04-12 00:00:00,2037-04-12 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,ΠΑΙΟΝΙΑΣ,17.7744,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-04,2012-15,16,69,299,1304
2009-06-09 00:00:00,ΑΔ-03188,2012-04-23 00:00:00,2037-04-23 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ,12.0,ΑΙΟΛΙΚΑ,2012-04,2012-17,34,149,299,1304
2009-06-09 00:00:00,ΑΔ-03190,2012-04-23 00:00:00,2037-04-23 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ - ΛΕΒΑΔΕΩΝ,20.0,ΑΙΟΛΙΚΑ,2012-04,2012-17,34,149,299,1304
2011-06-09 00:00:00,ΑΔ-03192,2012-04-23 00:00:00,2037-04-23 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ - ΔΟΜΟΚΟΥ,30.0,ΑΙΟΛΙΚΑ,2012-04,2012-17,10,45,299,1304
2010-08-06 00:00:00,ΑΔ-03193,2012-04-23 00:00:00,2037-04-23 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,ΠΑΙΟΝΙΑΣ,32.75,ΑΙΟΛΙΚΑ,2012-04,2012-17,20,89,299,1304
2011-10-10 00:00:00,ΑΔ-03219,2012-05-24 00:00:00,2037-05-24 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,ΚΑΤΕΡΙΝΗΣ,21.6,ΑΙΟΛΙΚΑ,2012-05,2012-21,7,32,299,1304
2009-04-10 00:00:00,ΑΔ-03224,2012-05-30 00:00:00,2037-05-30 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΩΚΙΔΑΣ,ΔΩΡΙΔΟΣ - ΔΕΛΦΩΝ,36.0,ΑΙΟΛΙΚΑ,2012-05,2012-22,37,163,299,1304
2009-12-10 00:00:00,ΑΔ-03225,2012-05-30 00:00:00,2037-05-30 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΡΥΤΑΝΙΑΣ,ΑΓΡΑΦΩΝ,32.0,ΑΙΟΛΙΚΑ,2012-05,2012-22,29,128,299,1304
2010-12-13 00:00:00,ΑΔ-03229,2012-06-06 00:00:00,2037-06-06 00:00:00,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,10.5,ΗΛΙΟΘΕΡΜΙΚΑ,2012-06,2012-23,17,77,299,1304
2011-10-06 00:00:00,ΑΔ-03236,2012-06-14 00:00:00,2037-06-14 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΑΛΙΑΡΤΟΥ – ΘΕΣΠΙΕΩΝ,28.19,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-06,2012-24,8,36,299,1304
2011-10-07 00:00:00,ΑΔ-03237,2012-06-14 00:00:00,2037-06-14 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,12.688,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-06,2012-24,8,35,299,1304
2011-10-07 00:00:00,ΑΔ-03238,2012-06-14 00:00:00,2037-06-14 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,28.18992,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-06,2012-24,8,35,299,1304
2011-10-06 00:00:00,ΑΔ-03242,2012-06-21 00:00:00,2037-06-21 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,6.83136,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-06,2012-25,8,37,299,1304
2011-10-06 00:00:00,ΑΔ-03243,2012-06-21 00:00:00,2037-06-21 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΑΛΙΑΡΤΟΥ – ΘΕΣΠΙΕΩΝ,26.26176,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-06,2012-25,8,37,299,1304
2011-10-07 00:00:00,ΑΔ-03244,2012-06-21 00:00:00,2037-06-21 00:00:00,ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ,ΗΛΕΙΑΣ,ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ ΚΑΙ ΠΗΝΕΙΟΥ,12.96,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-06,2012-25,8,36,299,1304
2011-12-08 00:00:00,ΑΔ-03269,2012-07-26 00:00:00,2037-07-26 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,2.313,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-07,2012-30,7,33,299,1304
2011-12-08 00:00:00,ΑΔ-03270,2012-07-26 00:00:00,2037-07-26 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,9.899,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-07,2012-30,7,33,299,1304
2011-12-08 00:00:00,ΑΔ-03271,2012-07-26 00:00:00,2037-07-26 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,9.702,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-07,2012-30,7,33,299,1304
2011-12-08 00:00:00,ΑΔ-03272,2012-07-26 00:00:00,2037-07-26 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,9.702,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-07,2012-30,7,33,299,1304
2011-12-08 00:00:00,ΑΔ-03273,2012-07-26 00:00:00,2037-07-26 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,9.702,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-07,2012-30,7,33,299,1304
2011-12-08 00:00:00,ΑΔ-03274,2012-07-26 00:00:00,2037-07-26 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,9.702,ΦΩΤΟΒΟΛΤΑΪΚΑ,2012-07,2012-30,7,33,299,1304
2011-06-10 00:00:00,ΑΔ-03278,2012-07-26 00:00:00,2037-07-26 00:00:00,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,ΑΜΥΝΤΑΙΟΥ,14.28,ΑΙΟΛΙΚΑ,2012-07,2012-30,13,58,299,1304
2011-02-10 00:00:00,ΑΔ-03279,2012-07-26 00:00:00,2037-07-26 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,33.0,ΑΙΟΛΙΚΑ,2012-07,2012-30,17,76,299,1304
2005-03-29 00:00:00,ΑΔ-03293,2012-09-27 00:00:00,2037-09-27 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,16.1,ΑΙΟΛΙΚΑ ,2012-09,2012-39,89,391,299,1304
2005-03-29 00:00:00,ΑΔ-03294,2012-09-27 00:00:00,2037-09-27 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΕΒΡΟΥ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,16.1,ΑΙΟΛΙΚΑ ,2012-09,2012-39,89,391,299,1304
2005-03-28 00:00:00,ΑΔ-03295,2012-10-17 00:00:00,2037-10-17 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,20.7,ΑΙΟΛΙΚΑ ,2012-10,2012-42,90,394,299,1304
2005-07-15 00:00:00,ΑΔ-03296,2012-10-17 00:00:00,2037-10-17 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,33.6,ΑΙΟΛΙΚΑ,2012-10,2012-42,87,378,299,1304
2011-02-03 00:00:00,ΑΔ-03298,2012-11-08 00:00:00,2037-11-08 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,ΣΙΝΤΙΚΗΣ,3.0,ΑΙΟΛΙΚΑ,2012-11,2012-45,21,92,299,1304
2004-11-03 00:00:00,ΑΔ-03299,2012-11-22 00:00:00,2037-11-22 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ - ΕΒΡΟΥ,ΑΡΡΙΑΝΩΝ - ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,22.0,ΑΙΟΛΙΚΑ ,2012-11,2012-47,96,420,299,1304
2011-02-03 00:00:00,ΑΔ-03300,2012-11-22 00:00:00,2037-11-22 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,22.0,ΑΙΟΛΙΚΑ,2012-11,2012-47,21,94,299,1304
2004-11-03 00:00:00,ΑΔ-03301,2012-11-22 00:00:00,2037-11-22 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,11.75,ΑΙΟΛΙΚΑ ,2012-11,2012-47,96,420,299,1304
2011-10-07 00:00:00,ΑΔ-03307,2012-12-05 00:00:00,2037-12-05 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,24.0,ΑΙΟΛΙΚΑ,2012-12,2012-49,13,60,299,1304
2012-09-04 00:00:00,ΑΔ-03318,2013-03-28 00:00:00,2038-03-28 00:00:00,ΘΕΣΣΑΛΙΑΣ,ΤΡΙΚΑΛΩΝ,ΠΥΛΗΣ,3.0,ΒΙΟΜΑΖΑ,2013-03,2013-12,6,29,299,1304
2004-11-03 00:00:00,ΑΔ-03327,2013-06-21 00:00:00,2038-06-21 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,10.0,ΑΙΟΛΙΚΑ,2013-06,2013-24,103,450,299,1304
2003-04-11 00:00:00,ΑΔ-03328,2013-07-03 00:00:00,2038-07-03 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,4.6,ΑΙΟΛΙΚΑ,2013-07,2013-26,122,533,299,1304
2006-05-10 00:00:00,ΑΔ-03329,2013-07-09 00:00:00,2038-07-09 00:00:00,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,2.4,ΑΙΟΛΙΚΑ,2013-07,2013-27,85,373,299,1304
2006-05-10 00:00:00,ΑΔ-03330,2013-07-09 00:00:00,2038-07-09 00:00:00,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,2.0,ΑΙΟΛΙΚΑ,2013-07,2013-27,85,373,299,1304
2006-05-10 00:00:00,ΑΔ-03331,2013-07-09 00:00:00,2038-07-09 00:00:00,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,10.3,ΑΙΟΛΙΚΑ,2013-07,2013-27,85,373,299,1304
2004-06-02 00:00:00,ΑΔ-03337,2013-08-02 00:00:00,2038-08-02 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΕΒΡΟΥ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,24.0,ΑΙΟΛΙΚΑ,2013-08,2013-30,109,478,299,1304
2011-08-04 00:00:00,ΑΔ-03338,2013-08-02 00:00:00,2038-08-02 00:00:00,ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΕΤΣΟΒΟΥ  ,2.0,ΑΙΟΛΙΚΑ,2013-08,2013-30,23,104,299,1304
2006-03-10 00:00:00,ΑΔ-03339,2013-08-29 00:00:00,2038-08-29 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,6.0,ΑΙΟΛΙΚΑ,2013-08,2013-34,89,389,299,1304
2005-12-30 00:00:00,ΑΔ-03340,2013-08-29 00:00:00,2038-08-29 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΞΑΝΘΗΣ,ΜΥΚΗΣ,6.0,ΑΙΟΛΙΚΑ,2013-08,2013-34,91,399,299,1304
2005-06-21 00:00:00,ΑΔ-03341,2013-09-05 00:00:00,2038-09-05 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,26.0,ΑΙΟΛΙΚΑ,2013-09,2013-35,98,428,299,1304
2012-09-10 00:00:00,ΑΔ-03352,2013-11-15 00:00:00,2038-11-15 00:00:00,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,ΑΜΥΝΤΑΙΟΥ,19.8,ΑΙΟΛΙΚΑ,2013-11,2013-45,14,61,299,1304
2013-03-11 00:00:00,ΑΔ-03353,2013-11-25 00:00:00,2038-11-25 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΡΥΤΑΝΙΑΣ,ΚΑΡΠΕΝΗΣΙΟΥ,0.15,ΜΥΗΕ,2013-11,2013-47,8,37,299,1304
2012-09-10 00:00:00,ΑΔ-03356,2013-12-06 00:00:00,2038-12-06 00:00:00,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,39.0,ΑΙΟΛΙΚΑ,2013-12,2013-48,14,64,299,1304
2012-09-10 00:00:00,ΑΔ-03357,2013-12-06 00:00:00,2038-12-06 00:00:00,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ ΑΕΤΟΥ ΑΜΥΝΤΑΙΟΥ,39.0,ΑΙΟΛΙΚΑ,2013-12,2013-48,14,64,299,1304
2013-03-08 00:00:00,ΑΔ-03369,2014-02-26 00:00:00,2039-02-26 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,10.35,ΑΙΟΛΙΚΑ,2014-02,2014-08,11,50,299,1304
2011-12-08 00:00:00,ΑΔ-03370,2014-02-26 00:00:00,2039-02-26 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,ΚΑΤΕΡΙΝΗΣ,1.45,ΜΥΗΕ,2014-02,2014-08,26,115,299,1304
2007-10-09 00:00:00,ΑΔ-03372,2014-02-26 00:00:00,2039-02-26 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,25.3,ΑΙΟΛΙΚΑ,2014-02,2014-08,76,333,299,1304
2013-06-10 00:00:00,ΑΔ-03374,2014-03-05 00:00:00,2039-03-05 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,6.0,ΑΙΟΛΙΚΑ,2014-03,2014-09,8,38,299,1304
2008-06-10 00:00:00,ΑΔ-03375,2014-03-12 00:00:00,2039-03-12 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,27.6,ΑΙΟΛΙΚΑ,2014-03,2014-10,69,300,299,1304
2008-06-10 00:00:00,ΑΔ-03376,2014-03-27 00:00:00,2039-03-27 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,21.0,ΑΙΟΛΙΚΑ,2014-03,2014-12,69,302,299,1304
2011-12-13 00:00:00,ΑΔ-03377,2014-04-14 00:00:00,2039-04-14 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,ΝΑΟΥΣΑΣ,0.625,ΜΥΗΕ,2014-04,2014-15,28,121,299,1304
2013-09-10 00:00:00,ΑΔ-03378,2014-04-14 00:00:00,2039-04-14 00:00:00,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,"ΚΟΖΑΝΗΣ,  ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ",32.0,ΑΙΟΛΙΚΑ,2014-04,2014-15,7,30,299,1304
2008-06-10 00:00:00,ΑΔ-03379,2014-04-30 00:00:00,2039-04-30 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ - ΑΡΡΙΑΝΩΝ,8.8,ΑΙΟΛΙΚΑ,2014-04,2014-17,70,307,299,1304
2013-09-05 00:00:00,ΑΔ-03380,2014-04-30 00:00:00,2039-04-30 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,ΔΕΡΒΕΝΟΧΩΡΙΩΝ,2.99,ΑΙΟΛΙΚΑ,2014-04,2014-17,7,33,299,1304
2008-06-10 00:00:00,ΑΔ-03382,2014-05-14 00:00:00,2039-05-14 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΚΟΜΟΤΗΝΗΣ - ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ - ΚΟΜΟΤΗΝΗΣ,16.4,ΑΙΟΛΙΚΑ,2014-05,2014-19,71,309,299,1304
2009-04-10 00:00:00,ΑΔ-03389,2014-06-04 00:00:00,2039-06-04 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΕΒΡΟΥ,ΣΟΥΦΛΙΟΥ,30.0,ΑΙΟΛΙΚΑ,2014-06,2014-22,61,268,299,1304
2008-06-09 00:00:00,ΑΔ-03390,2014-06-04 00:00:00,2039-06-04 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,14.4,ΑΙΟΛΙΚΑ,2014-06,2014-22,71,312,299,1304
2005-12-16 00:00:00,ΑΔ-03391,2014-06-04 00:00:00,2039-06-04 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ -ΞΑΝΘΗΣ,ΙΑΣΜΟΥ -ΞΑΝΘΗΣ -ΜΥΚΗΣ,40.0,ΑΙΟΛΙΚΑ ,2014-06,2014-22,101,441,299,1304
2010-02-10 00:00:00,ΑΔ-03395,2014-06-26 00:00:00,2039-06-26 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,ΑΡΡΙΑΝΩΝ,36.0,ΑΙΟΛΙΚΑ,2014-06,2014-25,52,228,299,1304
2013-09-10 00:00:00,ΑΔ-03397,2014-07-03 00:00:00,2039-07-03 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,ΤΑΝΑΓΡΑΣ,17.2,ΑΙΟΛΙΚΑ,2014-07,2014-26,9,42,299,1304
2007-04-10 00:00:00,ΑΔ-03398,2014-07-03 00:00:00,2039-07-03 00:00:00,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΕΒΡΟΥ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,10.0,ΑΙΟΛΙΚΑ,2014-07,2014-26,86,377,299,1304
